number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
73,1.000000,1.000000,3539.000000,5295.000000,3748.000000,1689.000000
74,1.000000,1.000000,3971.000000,5418.000000,3687.000000,1659.000000
75,1.000000,1.000000,3959.000000,5406.000000,3558.000000,1586.000000
76,1.000000,1.000000,4096.000000,5499.000000,3381.000000,1394.000000
77,1.000000,1.000000,4459.000000,5464.000000,3261.000000,1290.000000
78,1.000000,1.000000,4670.000000,5345.000000,3293.000000,1284.000000
79,1.000000,1.000000,4876.000000,5389.000000,3039.000000,1136.000000
80,1.000000,1.000000,5342.000000,5534.000000,3042.000000,1052.000000
81,1.000000,1.000000,5381.000000,5602.000000,2759.000000,965.000000
82,1.000000,1.000000,5690.000000,5604.000000,2682.000000,867.000000
83,1.000000,1.000000,6063.000000,5664.000000,2572.000000,809.000000
84,1.000000,1.000000,6449.000000,5477.000000,2430.000000,706.000000
85,1.000000,1.000000,6856.000000,5417.000000,2319.000000,636.000000
86,1.000000,1.000000,7314.000000,5495.000000,2197.000000,626.000000
87,1.000000,1.000000,7968.000000,5306.000000,1998.000000,526.000000
88,1.000000,1.000000,8382.000000,5247.000000,1902.000000,498.000000
89,1.000000,1.000000,9202.000000,5109.000000,1779.000000,437.000000
90,1.000000,123.000000,9807.000000,4892.000000,1604.000000,408.000000
91,1.000000,15232.000000,10582.000000,4590.000000,1473.000000,376.000000
92,1.000000,14531.000000,9989.000000,4273.000000,1368.000000,321.000000
93,1.000000,13851.000000,9479.000000,4195.000000,1247.000000,291.000000
94,1.000000,13429.000000,8847.000000,3884.000000,1154.000000,289.000000
95,1.000000,13033.000000,8764.000000,3655.000000,1085.000000,237.000000
96,1.000000,12627.000000,8320.000000,3435.000000,996.000000,214.000000
97,1.000000,11959.000000,7938.000000,3254.000000,958.000000,215.000000
98,1.000000,11616.000000,7740.000000,3033.000000,864.000000,165.000000
99,1.000000,11404.000000,7311.000000,2901.000000,822.000000,151.000000
